area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Aug,Other Lagos Areas,4 BHK,General Lagos Estate,3621,4.0,1.0,4599.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2008,3.0,2.0,1530.0
Super built-up  Area,18-Jun,Other Lagos Areas,3 BHK,General Lagos Estate,1240,2.0,2.0,358.65000000000003
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2095,3.0,2.0,1278.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1362,3.0,2.0,563.6700000000001
Super built-up  Area,Ready To Move,Festac,1 BHK,General Lagos Estate,694,1.0,0.0,277.56
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1404,2.0,2.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1192,2.0,3.0,423.0
Plot  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,1850,12.0,,2700.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1050,1.0,0.0,315.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1259,2.0,1.0,607.32
Super built-up  Area,Ready To Move,Mowe,2 BHK,General Lagos Estate,1000,2.0,2.0,306.0
Super built-up  Area,20-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,985,2.0,1.0,449.73
Built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,850,1.0,2.0,540.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1650,2.0,1.0,450.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,2400,3.0,1.0,2880.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1900,4.0,1.0,1620.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1367,2.0,2.0,774.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1210,2.0,2.0,729.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1190,2.0,1.0,437.40000000000003
Super built-up  Area,Ready To Move,Sangotedo,2 BHK,General Lagos Estate,1175,2.0,2.0,378.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2800,4.0,,3600.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1140,2.0,2.0,360.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1095,2.0,2.0,302.40000000000003
Super built-up  Area,Ready To Move,Ajah,1 BHK,General Lagos Estate,782,1.0,0.0,175.95000000000002
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1435,2.0,2.0,720.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,725,2.0,2.0,324.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1600,2.0,2.0,792.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,1200,5.0,,1440.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3205,4.0,2.0,2700.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,720,3.0,1.0,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1674,3.0,,810.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,860,4.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1243,2.0,2.0,414.0
Super built-up  Area,19-Jul,Other Lagos Areas,3 BHK,General Lagos Estate,1703,3.0,2.0,1170.0
Super built-up  Area,18-May,Other Lagos Areas,3 BHK,General Lagos Estate,1350,3.0,1.0,643.9499999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1145,2.0,1.0,370.89
Super built-up  Area,18-Apr,Lekki,2 BHK,General Lagos Estate,1216,2.0,1.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,3.0,1.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2425,5.0,1.0,1809.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2700,4.0,2.0,1575.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1196,2.0,2.0,364.86
Carpet  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1600,3.0,3.0,810.0
Super built-up  Area,17-Oct,Other Lagos Areas,3 BHK,General Lagos Estate,1510,3.0,3.0,428.13
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3033,4.0,1.0,2934.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,780,2.0,1.0,648.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1194,2.0,2.0,423.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1250,2.0,2.0,990.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,1480,4.0,1.0,1521.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1250,4.0,1.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1350,4.0,2.0,1440.0
Built-up  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,620,2.0,0.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1630,3.0,2.0,545.85
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,0.0,405.0
Super built-up  Area,18-Aug,Other Lagos Areas,3 BHK,General Lagos Estate,1410,2.0,2.0,482.21999999999997
Carpet  Area,18-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1181.7,2.0,1.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,9 Bedroom,General Lagos Estate,1200,8.0,3.0,2430.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1691,3.0,2.0,1017.0
Built-up  Area,Ready To Move,Ebute Metta,4 Bedroom,General Lagos Estate,1200,4.0,0.0,747.0
Super built-up  Area,Ready To Move,Bariga,2 BHK,General Lagos Estate,1200,2.0,3.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1300,3.0,2.0,701.91
Super built-up  Area,21-Dec,Lekki,2 BHK,General Lagos Estate,1356,2.0,1.0,853.5600000000001
Super built-up  Area,20-Dec,Lekki,2 BHK,General Lagos Estate,1338,2.0,1.0,927.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,500,1.0,1.0,180.0
Super built-up  Area,18-Aug,Other Lagos Areas,3 BHK,General Lagos Estate,1280,2.0,1.0,900.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1531,3.0,3.0,465.93
Super built-up  Area,18-May,Other Lagos Areas,4 BHK,General Lagos Estate,11000,4.0,1.0,14400.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,620,1.0,1.0,211.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1605,2.0,2.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1917,3.0,2.0,990.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,3.0,1.0,3060.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2750,3.0,2.0,8487.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1400,3.0,2.0,495.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2625,3.0,3.0,1575.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2041,3.0,3.0,1152.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2070,4.0,2.0,1440.0
Super built-up  Area,Ready To Move,Eko Atlantic,3 BHK,General Lagos Estate,1110,3.0,3.0,531.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1650,3.0,1.0,990.0
Plot  Area,18-Dec,Other Lagos Areas,4 Bedroom,General Lagos Estate,3565,4.0,3.0,2295.0
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1033,2.0,2.0,274.23
Super built-up  Area,Ready To Move,Surulere,2 BHK,General Lagos Estate,1142,2.0,2.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1500,2.0,2.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1502,3.0,3.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1176,2.0,1.0,405.0
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1063,2.0,1.0,295.2
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,1.0,540.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1044,2.0,2.0,765.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,5400,3.0,2.0,6300.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1216,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1425,3.0,2.0,495.0
Plot  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,1200,8.0,2.0,1350.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1345,2.0,2.0,972.0
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1248,2.0,1.0,1170.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1830,4.0,2.0,2925.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,900,1.0,0.0,1170.0
Built-up  Area,Ready To Move,Abule,4 Bedroom,General Lagos Estate,3600,4.0,,2205.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1025,2.0,1.0,322.92
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,840,1.0,1.0,891.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,3050,2.0,,810.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1424,2.0,2.0,675.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2500,3.0,1.0,2412.0
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1200,6.0,,2070.0
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1285,2.0,2.0,405.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1450,2.0,1.0,503.91
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1160,2.0,1.0,630.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2700,3.0,0.0,3150.0
Plot  Area,18-Apr,Other Lagos Areas,3 Bedroom,General Lagos Estate,2000,2.0,2.0,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1125,2.0,1.0,428.84999999999997
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,3900,4.0,2.0,1575.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1133,2.0,1.0,345.33
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1240,2.0,2.0,540.0
Super built-up  Area,22-Nov,Other Lagos Areas,3 BHK,General Lagos Estate,1466,3.0,3.0,698.3100000000001
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3870,4.0,2.0,3699.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1610,2.0,2.0,1035.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1220,3.0,2.0,504.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1225,2.0,2.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1300,2.0,1.0,486.0
Super built-up  Area,19-May,Other Lagos Areas,3 BHK,General Lagos Estate,1996,4.0,1.0,1107.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1320,2.0,2.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1800,3.0,2.0,2160.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1835,3.0,3.0,1575.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1435,3.0,2.0,810.0
Super built-up  Area,Ready To Move,Lekki,3 BHK,General Lagos Estate,4097,3.0,,3600.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1601,3.0,3.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1257,2.0,2.0,837.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3596,5.0,1.0,2340.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1309,2.0,2.0,855.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1362,2.0,0.0,900.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1115,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Lekki,3 BHK,General Lagos Estate,1870,3.0,2.0,810.0
Super built-up  Area,18-Nov,Other Lagos Areas,2 BHK,General Lagos Estate,1322,2.0,1.0,557.91
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1450,2.0,1.0,585.0
Super built-up  Area,Ready To Move,Gbagada,2 BHK,General Lagos Estate,1185,2.0,2.0,603.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1790,3.0,3.0,1080.0
Plot  Area,Ready To Move,Lekki,3 Bedroom,General Lagos Estate,3450,4.0,2.0,1872.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,2.0,472.5
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,664 - 722,1.0,0.0,246.375
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,5400,4.0,2.0,6750.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,775,1.0,0.0,351.0
Built-up  Area,Ready To Move,Ojota,2 BHK,General Lagos Estate,1000,2.0,2.0,432.0
Super built-up  Area,19-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,1183,2.0,1.0,695.25
Super built-up  Area,20-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1282,3.0,2.0,1602.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,425,1.0,1.0,135.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,820,2.0,2.0,270.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2230,4.0,,7128.0
Built-up  Area,Ready To Move,Eko Atlantic,2 BHK,General Lagos Estate,1200,2.0,2.0,468.0
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,1151,2.0,2.0,392.40000000000003
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1320,2.0,2.0,531.0
Carpet  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1450,3.0,2.0,612.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1270,2.0,3.0,457.11
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1847,3.0,2.0,1107.0
Super built-up  Area,18-May,Other Lagos Areas,1 BHK,General Lagos Estate,1020,2.0,1.0,448.83
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1650,3.0,,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2380,4.0,3.0,2178.0
Built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,2400,2.0,,702.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1160,2.0,2.0,396.0
Super built-up  Area,18-Aug,Other Lagos Areas,4 BHK,General Lagos Estate,2805,4.0,3.0,1386.0
Super built-up  Area,18-Jun,Other Lagos Areas,3 BHK,General Lagos Estate,1360,3.0,0.0,428.40000000000003
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1089,2.0,1.0,441.0
Super built-up  Area,Ready To Move,Festac,2 BHK,General Lagos Estate,1115,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1215,2.0,1.0,405.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1194,2.0,1.0,459.0
Super built-up  Area,18-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1536,3.0,1.0,936.0
Super built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1255,2.0,2.0,499.5
Super built-up  Area,17-Oct,Ajah,3 BHK,General Lagos Estate,1571,3.0,2.0,747.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,900,1.0,0.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1517,2.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,664,1.0,1.0,318.59999999999997
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1230,2.0,1.0,522.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1340,2.0,2.0,648.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1175,2.0,1.0,264.42
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,3569,4.0,1.0,5400.0
Super built-up  Area,Ready To Move,Sangotedo,2 BHK,General Lagos Estate,1240,2.0,2.0,387.90000000000003
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,151.11Sq. Yards,2.0,0.0,1350.0
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1470,2.0,1.0,396.90000000000003
Super built-up  Area,21-Dec,Other Lagos Areas,1 BHK,General Lagos Estate,525,,,263.25
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1680,3.0,2.0,1053.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1000,2.0,2.0,315.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1071,2.0,1.0,459.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1512,3.0,,720.0
Built-up  Area,Ready To Move,Shomolu,4 BHK,General Lagos Estate,3435,2.0,1.0,3069.0
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,3144,3.0,1.0,4095.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1190,2.0,1.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1550,2.0,3.0,720.0
Super built-up  Area,21-May,Other Lagos Areas,2 BHK,General Lagos Estate,1283,2.0,2.0,568.98
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1325,2.0,2.0,657.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1105,2.0,1.0,318.24
Super built-up  Area,Ready To Move,Bariga,3 BHK,General Lagos Estate,1600,3.0,2.0,670.5
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,400,2.0,2.0,315.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,700 - 900,,,370.305
Super built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1100,2.0,1.0,400.95
Super built-up  Area,21-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,2099,3.0,3.0,1323.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1365,2.0,1.0,648.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1485,3.0,3.0,1188.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1250,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1290,2.0,2.0,505.08
Super built-up  Area,Ready To Move,Abule,2 BHK,General Lagos Estate,1170,2.0,1.0,421.11
Super built-up  Area,19-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1328,2.0,3.0,819.54
Super built-up  Area,19-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,1232,2.0,1.0,783.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1180,2.0,2.0,796.5
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1350,3.0,2.0,594.0
Super built-up  Area,18-May,Other Lagos Areas,4 BHK,General Lagos Estate,3602,4.0,,2520.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2400,4.0,1.0,1305.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,2.0,288.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1410,2.0,3.0,444.06000000000006
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2159,3.0,2.0,1080.0
Plot  Area,Immediate Possession,Other Lagos Areas,,General Lagos Estate,1453,,,148.5
Super built-up  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1200,2.0,0.0,594.0
Super built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1255,2.0,1.0,517.5
Super built-up  Area,18-Sep,Lekki,2 BHK,General Lagos Estate,1074,2.0,1.0,385.11
Plot  Area,18-Nov,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,3.0,2.0,648.0
Super built-up  Area,18-Apr,Sangotedo,3 BHK,General Lagos Estate,1170,2.0,2.0,318.68999999999994
Super built-up  Area,21-Jun,Other Lagos Areas,1 BHK,General Lagos Estate,596 - 861,1.0,0.0,281.83500000000004
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1660,2.0,,900.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,900,6.0,1.0,855.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1850,3.0,0.0,1575.0
Built-up  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,510,1.0,0.0,306.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1601,3.0,2.0,855.0
Super built-up  Area,18-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,952,2.0,1.0,378.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1166,2.0,3.0,585.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2700,2.0,1.0,2340.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1900,3.0,1.0,873.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1350,2.0,0.0,1575.0
Super built-up  Area,18-Aug,Other Lagos Areas,3 BHK,General Lagos Estate,1520,2.0,2.0,864.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2100,6.0,3.0,900.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1175,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1432,2.0,2.0,612.0
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,1005,2.0,1.0,357.93
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1309,2.0,1.0,720.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2251,4.0,2.0,3330.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,1.0,693.0
Super built-up  Area,21-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1100,3.0,2.0,477.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2400,3.0,3.0,2790.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1565,2.0,2.0,507.06000000000006
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,940,2.0,1.0,504.0
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,1015,2.0,1.0,360.90000000000003
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2400,2.0,0.0,3240.0
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1652,3.0,3.0,990.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1100,2.0,2.0,468.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2340,4.0,1.0,1305.0
Super built-up  Area,21-Jul,Victoria Island,2 BHK,General Lagos Estate,1084,2.0,1.0,1611.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1200,1.0,1.0,729.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1400,3.0,3.0,621.0
Plot  Area,16-Mar,Other Lagos Areas,4 Bedroom,General Lagos Estate,2400,5.0,0.0,2880.0
Super built-up  Area,18-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,1.0,246.87
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1267,2.0,1.0,812.97
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2439,4.0,3.0,1665.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1645,3.0,,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1100,2.0,2.0,675.0
